payload,label
<a oNClick=aLerT(1)>,1
"""'><sCrIPt>aLErt(1)</sCRipt>",1
<SPaN ONMouSEOver=ALert(1)>,1
javaScRIPT:VOiD(0),0
OkWO<span onclick=alert(1)>DFSP,1
SGT98c<span onload=init()>G9mfa,0
JAVAscrIpT:coNfIRm(1),1
%3Cimg%20src%3D%27livescript%3Aalert%281%29%27%3E,1
<ScRiPT>eVaL('alERt(1)')</ScRiPT>,1
<A onFocUS=COnFirm(1)>,1
<Span oNCLIcK=ProMPT(1)>,1
javASCript:ProMpT(1),1
<imG oNCLIcK=INiT()>,0
0Nr9<svg onfocus=highlight()>yz,0
jAvaSCRiPt:voId(0),0
XHSRXk<div onfocus=alert(1)>Tp,1
9dGXFQ<a onload=confirm(1)>O5wiuK,1
<Svg oNcLick=showmENu()>,0
<a onfocus=confirm(1)>,1
"<sCRIpt>sEtTIMEoUT('aLeRT(1)',1000)</sCript>",1
<A onMouSEOVER=nOoP()>,0
<SpaN oNclicK=alERt(1)>,1
<svG ONMOUSEoVer=sHOwMeNU()>,0
<span onload=validate()>,0
<a onfocus=s,0
Jqjavascript:alert(1)EPA5,1
<a onCliCK=ShOWMenU()>,0
nejavascript:confirm(1)fdq,1
<imG OnCLiCK=iNiT()>,0
<sPan onLoAD=conFiRM(1)>,1
<SCrIPT>eVAL('aLErt(1)')</SCrIpt>,1
"wKEm<script>setTimeout('alert(1)',1000)</script>hU",1
VXlCAjavascript:void(0)G0cN,0
<DIv OnMoUsEovER=alERT(1)>,1
AbdOn<img onmouseover=alert(1)>ZOMRVx,1
<sCRIpt>evAL('ALErt(1)')</sCRipt>,1
<span onfoc,1
<Img ONFoCUS=coNfIrm(1)>,1
LpPRok<div onload=alert(1)>DfhR3,1
<SpaN OnLoad=iNiT()>,0
<A onMouSeOVeR=aLeRt(1)>,1
wmIE5<a onclick=validate()>V0m,0
4wC<a onclick=showMenu()>eb1XQ,0
<SCRIpt>DOcuMENT.Write('<iMG sRc=X oNeRRoR=aLeRT(1)>')</ScriPT>,1
eWHD<a onmouseover=validate()>DxXOpE,0
<sVg OnLOaD=AlerT(1)>,1
<DIV oNclIcK=iniT()>,0
vnwG<script>window</script>UL,1
<SVG oNcLiCk=InIT()>,0
<DiV OnLOAd=pRoMPT(1)>,1
<Span onLoAD=ShOWmEnU()>,0
JaVasCrIPt:prOMpt(1),1
<A ONLOad=vALiDATE()>,0
tca7Y<span onfocus=highlight()>tEvW,0
<div onload,1
gNmB<a onload=confirm(1)>EC,1
javASCRipT:VoID(0),0
rpf<span onmouseover=validate()>Gb2Bmf,0
VVQA3Ejavascript:void(0)qjhIy,0
MHp5J3<script>document.write('<img src=x onerror=alert(1)>')</script>BD9,1
jAVaScRiPt:vOId(0),0
i5wkijavascript:void(0)vxBsw,0
<DIv oncLiCK=AlErT(1)>,1
<A onLOAD=CONfIrm(1)>,1
jAvAScRIpt:vOid(0),0
"<ScRiPt>sEtTiMEOut('AlERT(1)',1000)</ScrIPt>",1
wd<img onfocus=alert(1)>NMHy,1
<img onload=showMenu(),0
<sVg OnmOuSEOvER=PrOMPt(1)>,1
jAVAsCripT:ALeRt(1),1
<DIv ONCliCk=SHOWMenu()>,0
jAVascrIpt:pRomPt(1),1
fXjbw<div onmouseover=confirm(1)>xxGp6,1
<SpaN onmOusEoVER=PRomPt(1)>,1
<div onclick=p,1
<dIV OnclICk=sHoWMenU()>,0
JAVaScRipT:pRomPt(1),1
uZTwx<img onmouseover=showMenu()>AL,0
<sVG onMOUseoVER=pRomPt(1)>,1
83<div onclick=highlight()>SN,0
<a oNmoUSEoVEr=InIT()>,0
mvQh<svg onclick=noop()>XZdl,0
wF6pm<div onclick=prompt(1)>z1euY2,1
<a ONLoaD=cOnFiRm(1)>,1
<span onclick=showMen,0
7vgR<div onfocus=prompt(1)>sEg,1
JavAScRipt:vOId(0),0
JAVaSCrIPT:ConFiRm(1),1
<span ONCLick=HIgHlight()>,0
WP<img onload=noop()>2vX3,0
