payload,label
<dIV oNcLIck=AlErt(1)>,1
<SVg oNeRror=ALeRT(1)>,1
<dIV ONErroR=AlERt(1)>,1
<sVg ONloAd=tRACk()>,0
<svG ONclicK=INiT()>,0
<Img ONLoaD=AlErt(1)>,1
<svg onerrOr=iniT()>,0
<diV OnLoaD=inIT()>,0
<IMg OnlOAD=loGeVENT()>,0
<dIV oNlOad=trACk()>,0
<dIv OneRroR=ALeRt(1)>,1
<DIV ONErRoR=aleRT(1)>,1
<dIV ONlOad=aLerT(1)>,1
<IMg onloAD=traCk()>,0
<dIv onlOad=tRACk()>,0
<diV onLOad=alErT(1)>,1
<iMG oNCLick=AleRt(1)>,1
<Img ONloaD=alert(1)>,1
<ImG oNeRROr=ALERt(1)>,1
<SvG ONeRror=aLErt(1)>,1
<iMg OnErRoR=aLert(1)>,1
<Svg oncliCk=iNiT()>,0
<diV ONLOaD=alErt(1)>,1
<div ONloAd=logEvEnt()>,0
<img ONClick=aLERT(1)>,1
<sVg oNERrOR=ALert(1)>,1
<dIv oNCLick=ALERt(1)>,1
<sVg oNLoaD=LoGeveNt()>,0
<iMg OnErRor=AlErt(1)>,1
<SVG OnclIcK=aLErT(1)>,1
<dIV oNClIck=lOgevEnt()>,0
<Img onLOAd=LogevENT()>,0
<dIV OnlOad=aleRT(1)>,1
<svg oNlOAd=AlErt(1)>,1
<Div oNErRor=lOGevent()>,0
<dIv onErrOR=AlERT(1)>,1
<dIv onLoaD=AleRT(1)>,1
<svg ONerrOr=iNIT()>,0
<img oNlOaD=alErt(1)>,1
<Div ONClIcK=alerT(1)>,1
<IMG ONclIck=trACk()>,0
<img onclICK=TRack()>,0
<sVG ONCLicK=aLERT(1)>,1
<SVG ONCLIck=ALeRT(1)>,1
<sVg OnCLick=ALeRt(1)>,1
<dIV ONClIck=logEvenT()>,0
<Img oNErROR=ALERt(1)>,1
<imG ONCLiCk=alErT(1)>,1
<dIV OnClICK=ALeRT(1)>,1
<iMG OneRroR=alERT(1)>,1
<img oNErRor=INiT()>,0
<img onclick=init()>,0
<iMg ONerror=INit()>,0
<diV oNclICK=aleRT(1)>,1
<SVG OncliCK=alert(1)>,1
<DIv Onerror=alERT(1)>,1
<SvG OnerrOR=LogevenT()>,0
<iMG onLoAD=TrACK()>,0
<sVG OnERRoR=AlERT(1)>,1
<DiV OnlOAd=aLERt(1)>,1
<IMG onErroR=logeveNT()>,0
<DiV oNeRROR=ALERt(1)>,1
<DIv oNloAd=LOGevEnt()>,0
<svg oNclICK=alERt(1)>,1
<iMg OneRrOR=LoGEVEnt()>,0
<div OnloAd=aLERT(1)>,1
<SVG ONlOaD=alERt(1)>,1
<DIv ONlOAD=ALert(1)>,1
<Div oNCliCk=ALeRT(1)>,1
<DIV oNERROR=tRaCk()>,0
<sVg ONCliCk=IniT()>,0
<SVG onLoaD=LogeveNt()>,0
<Svg oNCliCk=ALeRT(1)>,1
<ImG OnlOad=TRACK()>,0
<dIV oneRRoR=InIt()>,0
<DIV OnErROr=iNIT()>,0
<IMg onErRor=INiT()>,0
<Img ONclIck=TRaCk()>,0
<IMG onclIcK=loGEVENt()>,0
<DIv OnLOad=TrACk()>,0
<img onLOAD=alErT(1)>,1
<img OneRROR=ALerT(1)>,1
<SvG OnCLIck=ALert(1)>,1
<Div ONclIck=ALErt(1)>,1
<DiV OnLoaD=alERt(1)>,1
<Img onlOad=Alert(1)>,1
<DIv OnlOad=tRaCK()>,0
<diV oNLoaD=ALeRT(1)>,1
<DIv onClICk=tRaCk()>,0
<Img oNcLICK=iNIT()>,0
<iMG onerRoR=AleRt(1)>,1
<Div OnloAd=AlERT(1)>,1
<SvG onERrOR=INit()>,0
<Div ONclIcK=aLErt(1)>,1
<DIv OnloAD=LoGEVENt()>,0
<ImG oNLOAD=lOgEVent()>,0
<iMg ONLOAd=ALert(1)>,1
<ImG ONLoad=ALERT(1)>,1
<SVG onloAd=alERt(1)>,1
<diV OnERrOr=AlerT(1)>,1
<DIV Onclick=TrACk()>,0
<IMg oNload=TrACk()>,0
<div OnCliCK=alerT(1)>,1
<ImG onerRoR=trAck()>,0
<sVg onlOAD=ALERT(1)>,1
<DIv OnlOAd=ALert(1)>,1
<DIV ONLoAd=ALeRT(1)>,1
<DIV OnerROR=TraCk()>,0
<dIV onerror=lOgevENT()>,0
<sVG OncLICK=LOGEvEnt()>,0
<SVG oncLiCK=aLERt(1)>,1
<svG oneRrOr=alert(1)>,1
<iMg OneRROR=LOgeVEnT()>,0
<iMg Onerror=iNit()>,0
<diV OncLiCk=TrAck()>,0
<SVG ONCLick=LoGEvEnT()>,0
<iMg ONCLiCk=lOgEVeNT()>,0
<dIV ONcLick=LoGEVenT()>,0
<svg onerror=init()>,0
<div oNerrOR=ALErt(1)>,1
<iMG ONLOaD=Init()>,0
<DIV onLOAd=inIt()>,0
<Svg OnLoaD=tRAcK()>,0
<dIv ONClICK=alErT(1)>,1
<ImG ONCLick=inIt()>,0
<Div onlOad=INIT()>,0
<SvG onclicK=lOGEvEnt()>,0
<svg ONerrOR=lOgEVEnT()>,0
<Div ONErrOr=lOGeVeNT()>,0
<SVg oNERROr=ALErt(1)>,1
<svG oNeRror=logEVENt()>,0
<Div ONloaD=aLerT(1)>,1
<SVg ONloAd=trAcK()>,0
<svG onLOAD=iNIT()>,0
<imG oNcLIcK=iNIt()>,0
<SvG oNlOAD=AlERT(1)>,1
<svg oNerRor=lOgEVEnT()>,0
<IMG onLoAD=LOgEVEnT()>,0
<SVG onLOAD=trACk()>,0
<DiV onloaD=alert(1)>,1
<DIv oNCLiCK=traCk()>,0
<ImG onCLiCk=TRacK()>,0
<SvG onCLIcK=TrAck()>,0
<Div OnErRor=aLeRT(1)>,1
<DIv oNCLicK=aLERT(1)>,1
