Unnamed: 0,payload,label,len,pred,prob
31,"<li><cite id=""citerefoudeyer2010"" class=""citation journal"">oudeyer, p-y. (2010). <a rel=""nofollow"" class=""external text"" href=""http://www.pyoudeyer.com/ieeetamdoudeyer10.pdf"">""on the impact of robotics in behavioral and cognitive sciences: from insect navigation to human cognitive development"" </a> <span class=""cs1-format"">(pdf)",0,330,1,0.6666523539902939
204,"<ul><li><a rel=""nofollow"" class=""external text"" href=""http://www.ieee-cis.org/"">ieee computational intelligence society </a> <a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20080509191840/http://www.ieee-cis.org/"">archived </a> 9 may 2008 at the <a href=""/wiki/wayback_machine"" title=""wayback machine"">wayback machine </a> </li> </ul>",0,360,1,0.6474482844190045
580,"<li><cite id=""citerefalbus2002"" class=""citation encyclopaedia"">albus, j. s. (2002). ""4d/rcs: a reference model architecture for intelligent unmanned ground vehicles"". in gerhart, g.; gunderson, r.; shoemaker, c. (eds.). <a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20040725051856/http://www.isd.mel.nist.gov/documents/albus/4drcs.pdf""><i>4-d/rcs: a reference model architecture for intelligent unmanned ground vehicles </i> </a> <span class=""cs1-format"">(pdf)",0,488,1,0.5135742438128709
793,"</span> <span class=""reference-text""><cite class=""citation web"">rowinski, dan (15 january 2013). <a rel=""nofollow"" class=""external text"" href=""http://readwrite.com/2013/01/15/virtual-personal-assistants-the-future-of-your-smartphone-infographic"">""virtual personal assistants & the future of your smartphone [infographic]"" </a>. <i>readwrite </i>. <a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20151222083034/http://readwrite.com/2013/01/15/virtual-personal-assistants-the-future-of-your-smartphone-infographic"">archived </a> from the original on 22 december 2015. </cite><span title=""ctx_ver=z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.genre=unknown&rft.jtitle=readwrite&rft.atitle=virtual+personal+assistants+&+the+future+of+your+smartphone+[infographic]&rft.date=2013-01-15&rft.au=rowinski,+dan&rft_id=http://readwrite.com/2013/01/15/virtual-personal-assistants-the-future-of-your-smartphone-infographic&rfr_id=info:sid/en.wikipedia.org:artificial+intelligence"" class=""z3988"">",0,1019,1,0.8369417363349768
794,"</span>. <a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20070810233856/http://www-formal.stanford.edu/jmc/mcchay69.html"">archived </a> from the original on 10 august 2007<span class=""reference-accessdate"">. retrieved <span class=""nowrap"">30 august",0,274,1,0.5264876841748642
899,"</span>. </cite><span title=""ctx_ver=z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:book&rft.genre=unknown&rft.btitle=acm+computing+classification+system:+artificial+intelligence&rft.pub=acm&rft.date=1998&rft_id=http://www.acm.org/class/1998/i.2.html&rfr_id=info:sid/en.wikipedia.org:artificial+intelligence"" class=""z3988"">",0,321,1,0.4714297720493283
926,"</span>. </cite><span title=""ctx_ver=z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.genre=unknown&rft.jtitle=airesearch.com&rft.atitle=deep+neural+networks+for+acoustic+modeling+in+speech+recognition&rft.date=2015-10-23&rft.aulast=research&rft.aufirst=ai&rft_id=http://airesearch.com/ai-research-papers/deep-neural-networks-for-acoustic-modeling-in-speech-recognition/&rfr_id=info:sid/en.wikipedia.org:artificial+intelligence"" class=""z3988"">",0,451,1,0.4550592394426089
990,"</span> <span class=""reference-text""><cite class=""citation web""><a rel=""nofollow"" class=""external text"" href=""http://fusion.net/story/54583/the-case-against-killer-robots-from-a-guy-actually-building-ai/"">""the case against killer robots, from a guy actually working on artificial intelligence"" </a>. <i>fusion.net </i>. <a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20160204175716/http://fusion.net/story/54583/the-case-against-killer-robots-from-a-guy-actually-building-ai/"">archived </a> from the original on 4 february 2016<span class=""reference-accessdate"">. retrieved <span class=""nowrap"">31 january",0,632,1,0.6367051384935384
1222,"<div role=""main"" class=""document"" itemscope=""itemscope"" itemtype=""http://schema.org/article"">",0,93,1,0.5703079183386356
1522,"</span>. </cite><span title=""ctx_ver=z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.genre=article&rft.jtitle=science&rft.atitle=superhuman+ai+for+heads-up+no-limit+poker:+libratus+beats+top+professionals&rft.pages=418-424&rft.date=2018-01-26&rft_id=info:doi/10.1126/science.aao1733&rft.aulast=brown&rft.aufirst=noam&rft.au=sandholm,+tuomas&rft_id=http://science.sciencemag.org/content/359/6374/418&rfr_id=info:sid/en.wikipedia.org:artificial+intelligence"" class=""z3988"">",0,480,1,0.5529488665363403
1550,"</span> <span class=""reference-text""><cite class=""citation web""><a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20141129044821/http://www.aaai.org/library/symposia/fall/fs05-06"">""machine ethics"" </a>. <i>aaai.org </i>. archived from <a rel=""nofollow"" class=""external text"" href=""http://www.aaai.org/library/symposia/fall/fs05-06"">the original </a> on 29 november 2014. </cite><span title=""ctx_ver=z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.genre=unknown&rft.jtitle=aaai.org&rft.atitle=machine+ethics&rft_id=http://www.aaai.org/library/symposia/fall/fs05-06&rfr_id=info:sid/en.wikipedia.org:artificial+intelligence"" class=""z3988"">",0,669,1,0.5150044982482688
1608,"</span>. <q>these gödelian anti-mechanist arguments are, however, problematic, and there is wide consensus that they fail. </q> </cite><span title=""ctx_ver=z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.genre=unknown&rft.jtitle=stanford+encyclopedia+of+philosophy&rft.atitle=gödel's+incompleteness+theorems&rft.date=2015-01-20&rft.au=graham+oppy&rft_id=http://plato.stanford.edu/entries/goedel-incompleteness/#gdeargagamec&rfr_id=info:sid/en.wikipedia.org:artificial+intelligence"" class=""z3988"">",0,505,1,0.4883454871673622
1612,"<li><cite class=""citation journal"">serenko, alexander; michael dohan (2011). <a rel=""nofollow"" class=""external text"" href=""http://www.aserenko.com/papers/joi_ai_journal_ranking_serenko.pdf"">""comparing the expert survey and citation impact journal ranking methods: example from the field of artificial intelligence"" </a> <span class=""cs1-format"">(pdf)",0,350,1,0.7796766143495213
1614,"pSuY</span><link rel=""mw-deduplicated-inline-style"" href=""mw-data:templatestyles:r935243608""/> <a rel=""nofollow"" class=""external text"" href=""http://dblp.uni-trier.de/rec/bibtex/conf/iwann/aleksander95"">bibtex </a> <a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/19970302014628/http://www.ee.ic.ac.uk/research/neural/publications/iwann.html"">archived </a> 2 march 1997 at the <a href=""/wiki/wayback_machine"" title=""wayback machine"">wayback machine </a>. </li>pSuY",0,488,1,0.7526512327651932
